true_key,pred_key,margin,n_candidates,true_sim,pred_sim,address,train_photos_true,train_photos_pred,same_address
Ballonggatan|3,Ballonggatan|2,0.0002524852752685547,2,0.9966772794723511,0.9969297647476196,Ballonggatan,3,2,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|24,Bergslagsvägen 3-55 Åkeshov-Brommaplan|25,0.0006758570671081543,35,0.9982377290725708,0.998913586139679,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,10,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|26,Bergslagsvägen 3-55 Åkeshov-Brommaplan|29,3.2961368560791016e-05,35,0.9991390705108643,0.999172031879425,Bergslagsvägen 3-55 Åkeshov-Brommaplan,6,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|27,Bergslagsvägen 3-55 Åkeshov-Brommaplan|25,0.0004534721374511719,35,0.9987202882766724,0.9991737604141235,Bergslagsvägen 3-55 Åkeshov-Brommaplan,9,10,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|28,Bergslagsvägen 3-55 Åkeshov-Brommaplan|18,0.00013172626495361328,35,0.9988574385643005,0.9989891648292542,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|29,Bergslagsvägen 3-55 Åkeshov-Brommaplan|33,9.59634780883789e-05,35,0.9989097118377686,0.9990056753158569,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|3,Bergslagsvägen 3-55 Åkeshov-Brommaplan|34,1.1920928955078125e-07,35,0.9989833831787109,0.9989835023880005,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|30,Bergslagsvägen 3-55 Åkeshov-Brommaplan|35,0.0004127621650695801,35,0.9977540373802185,0.9981667995452881,Bergslagsvägen 3-55 Åkeshov-Brommaplan,10,9,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|31,Bergslagsvägen 3-55 Åkeshov-Brommaplan|3,0.0008333325386047363,35,0.9981595873832703,0.998992919921875,Bergslagsvägen 3-55 Åkeshov-Brommaplan,8,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|32,Bergslagsvägen 3-55 Åkeshov-Brommaplan|30,0.0003981590270996094,35,0.9991592168807983,0.999557375907898,Bergslagsvägen 3-55 Åkeshov-Brommaplan,9,10,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|33,Bergslagsvägen 3-55 Åkeshov-Brommaplan|31,0.0017181038856506348,35,0.9973427057266235,0.9990608096122742,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,8,True
